OPERATOR_ID,NAME,COUNTRY,CONTINENT,GSMA_NOTES,NUMBER OF SUBMISSIONS,LATEST_2G,LATEST_3G,LATEST_4G,LATEST_5G
573,Orange,"Moldova, Republic of",EUROPE,-,1,2012,Not Submitted,Not Submitted,-
843,IDC (Interdnestrkom); Transnistria,"Moldova, Republic of",EUROPE,-,1,Not Submitted,2019,2019,-
1821,Unite (Moldtelecom),"Moldova, Republic of",EUROPE,-,4,Not Submitted,2017,2017,-
311,Monaco Telecom (NJJ),Monaco,EUROPE,-,1,2013,Not Submitted,Not Submitted,-
286,MobiCom,Mongolia,ASIA,-,2,2004,2009,Not Submitted,-
856,SKYtel,Mongolia,ASIA,-,-,Not Submitted,Not Submitted,Not Submitted,-
862,GMobile,Mongolia,ASIA,-,-,Not Submitted,Not Submitted,No Licence,-
1103,Unitel,Mongolia,ASIA,-,2,2011,2011,Not Submitted,-
5762,Telecom Mongolia,Mongolia,ASIA,-,-,No Licence,No Licence,Not Submitted,-
312,Crnogorski Telekom,Montenegro,EUROPE,-,3,2018,2018,2018,-
392,one (antenna Hungaria),Montenegro,EUROPE,-,2,2013,2013,2013,-
1430,m:tel (Telekom Srbija),Montenegro,EUROPE,-,4,2019,2019,2019,No Licence
5230,Montenegro Connect (VelaTel),Montenegro,EUROPE,-,-,No Licence,No Licence,Not Submitted,No Licence
66,Flow (Liberty Latin America),Montserrat,N AMERICA,-,1,2004,Not Submitted,No Licence,-
6108,Digicel,Montserrat,N AMERICA,-,2,No Licence,2019,2019,-
600,Maroc Telecom (e&),Morocco,AFRICA,-,1,2004,Not Submitted,Not Submitted,-
612,Orange,Morocco,AFRICA,-,-,Not Submitted,Not Submitted,Not Submitted,-
1265,inwi (Wana),Morocco,AFRICA,-,1,2011,Not Submitted,Not Submitted,-
309,Tmcel,Mozambique,AFRICA,-,2,2013,Not Submitted,No Licence,-
549,Vodacom,Mozambique,AFRICA,-,3,2019,2019,2019,No Licence
3958,Movitel (Viettel),Mozambique,AFRICA,-,-,Not Submitted,Not Submitted,No Licence,-
323,MPT,Myanmar,ASIA,-,-,Not Submitted,Not Submitted,Not Submitted,-
5575,Ooredoo,Myanmar,ASIA,-,1,No Licence,2019,2019,-
5576,ATOM,Myanmar,ASIA,-,-,Not Submitted,Not Submitted,Not Submitted,-
5647,MyTel,Myanmar,ASIA,-,1,2020,No Licence,2020,-
6819,5BB (GlobalNet),Myanmar,ASIA,-,-,No Licence,No Licence,Not Submitted,-
315,MTC,Namibia,AFRICA,-,3,2018,2018,2018,-
1822,TN Mobile (Telecom Namibia),Namibia,AFRICA,-,-,Not Submitted,Not Submitted,Not Submitted,-
5376,Paratus Telecom,Namibia,AFRICA,-,-,No Licence,No Licence,Not Submitted,-
2070,Digicel (Telstra),Nauru,OCEANIA,-,-,Not Submitted,Not Submitted,Not Submitted,-
327,Nepal Telecom,Nepal,ASIA,-,1,2017,2017,2017,-
788,Ncell Axiata,Nepal,ASIA,-,2,2012,Not Submitted,Not Submitted,-
2720,Hello Nepal (Nepal Satellite Telecom),Nepal,ASIA,-,1,2013,No Licence,No Licence,-
4439,Smart Cell (Smart Telecom),Nepal,ASIA,-,-,Not Submitted,No Licence,Not Submitted,-
5659,United Telecom,Nepal,ASIA,-,-,Not Submitted,Not Submitted,No Licence,-
252,KPN,Netherlands,EUROPE,-,5,2016,2016,2016,No Licence
465,Odido,Netherlands,EUROPE,-,2,2011,2011,Not Submitted,No Licence
562,VodafoneZiggo (Liberty Global / Vodafone),Netherlands,EUROPE,-,4,2018,2018,2018,-
354,OPT,New Caledonia,OCEANIA,-,5,2018,2018,2018,-
565,Vodafone,New Zealand,OCEANIA,-,2,2006,2006,Not Submitted,-
608,Spark,New Zealand,OCEANIA,-,5,2011,2019,2019,-
995,2degrees,New Zealand,OCEANIA,-,1,Not Submitted,2018,2018,-
163,Claro (America Movil),Nicaragua,N AMERICA,-,3,2013,2013,Not Submitted,-
777,Tigo (Millicom),Nicaragua,N AMERICA,-,2,2018,2018,2018,No Licence
5413,CooTel (Xinwei Telecom),Nicaragua,N AMERICA,-,-,No Licence,Not Submitted,No Licence,No Licence
5915,IBW,Nicaragua,N AMERICA,-,-,No Licence,No Licence,Not Submitted,No Licence
92,Airtel (Airtel Africa),Niger,AFRICA,-,2,2014,2014,No Licence,-
410,Niger Telecoms,Niger,AFRICA,-,-,Not Submitted,No Licence,No Licence,No Licence
482,Moov (Maroc Telecom),Niger,AFRICA,-,-,Not Submitted,Not Submitted,No Licence,No Licence
1810,Zamani Telecom (Zamanicom),Niger,AFRICA,-,1,Not Submitted,2013,No Licence,-
192,Glo Mobile (Globacom),Nigeria,AFRICA,-,1,2012,2012,Not Submitted,-
320,MTN,Nigeria,AFRICA,-,3,2016,2016,2016,-
334,ntel (NatCom),Nigeria,AFRICA,-,1,Not Submitted,No Licence,2018,No Licence
681,Airtel (Airtel Africa),Nigeria,AFRICA,-,1,2014,2014,Not Submitted,-
1872,9mobile (Teleology),Nigeria,AFRICA,-,1,2018,2018,2018,-
2000,GiCell Wireless,Nigeria,AFRICA,-,-,No Licence,Not Submitted,No Licence,-
2001,MegaTech Networks,Nigeria,AFRICA,-,-,No Licence,Not Submitted,No Licence,-
2087,InterC Network,Nigeria,AFRICA,-,-,No Licence,No Licence,Not Submitted,-
2088,O-Mobile (Prestel),Nigeria,AFRICA,-,-,No Licence,Not Submitted,No Licence,-
3947,Mobitel,Nigeria,AFRICA,-,-,No Licence,No Licence,Not Submitted,-
4720,Spectranet,Nigeria,AFRICA,-,-,No Licence,No Licence,Not Submitted,-
4935,Zoda Fones,Nigeria,AFRICA,-,-,No Licence,No Licence,Not Submitted,-
5363,Smile,Nigeria,AFRICA,-,-,No Licence,No Licence,Not Submitted,-
5558,Swift Networks,Nigeria,AFRICA,-,-,No Licence,No Licence,Not Submitted,-
5764,Bitflux,Nigeria,AFRICA,-,-,No Licence,No Licence,Not Submitted,-
5833,Tazca Connects,Nigeria,AFRICA,-,-,No Licence,No Licence,Not Submitted,-
5907,AG Placid,Nigeria,AFRICA,-,-,No Licence,No Licence,Not Submitted,-
6518,Cyberspace,Nigeria,AFRICA,-,-,No Licence,No Licence,Not Submitted,-
781,Telecom Niue,Niue Island,OCEANIA,-,-,Not Submitted,No Licence,No Licence,-
2002,Norfolk Island Telecom,Norfolk Island,OCEANIA,-,-,Not Submitted,No Licence,No Licence,-
1927,Koryolink (OTMT),"Korea, Democratic People's Republic of",ASIA,-,-,No Licence,Not Submitted,No Licence,-
302,Makedonski Telekom,North Macedonia,EUROPE,-,5,2019,2019,2019,-
1445,A1 Macedonia,North Macedonia,EUROPE,-,2,2013,2013,Not Submitted,No Licence
744,DOCOMO PACIFIC (NTT DOCOMO),Northern Mariana Islands,OCEANIA,-,4,2019,2019,2019,-
745,IT&E (PTI),Northern Mariana Islands,OCEANIA,-,-,Not Submitted,Not Submitted,Not Submitted,-
748,iConnect,Northern Mariana Islands,OCEANIA,-,-,Not Submitted,Not Submitted,No Licence,No Licence
329,Telia,Norway,EUROPE,-,1,2006,2006,Not Submitted,-
505,Telenor,Norway,EUROPE,-,1,2006,2006,Not Submitted,-
1839,Ice,Norway,EUROPE,-,-,Not Submitted,Not Submitted,Not Submitted,-
746,Omantel,"Oman, Sultanate of",ASIA,-,3,2016,2016,2016,-
